"","lon","lat","adr"
"Agoria1",51.0100414,3.7097105,"Agoria, Zwijnaarde science Park, Ghent, Belgium"
"Agoria2",NA,NA,"Agoriad Cyf., Porth Penrhyn, United Kingdom"
"Agoria3",51.18716,4.43442,"Agoria, Filip Williotstraat, Berchem, Belgium"
"Agoria4",50.8503396,4.3517103,"Agoria, Boulevard Auguste Reyers, Brussels, Belgium"
"Agoria5",52.888816,-4.4176339,"Agoriad Cyf, Pwllheli, United Kingdom"
"Associated Weavers1",NA,NA,"Associated Weavers, Halifax, United Kingdom"
"Associated Weavers2",50.7509366,3.6405323,"Associated Weavers NV/SA, Weverijstraat, Ronse, Belgium"
"Associated Weavers3",37.9542733,23.6997168,"Associated Weavers Hellas, Leoforos Eleftheriou Venizelou, Kallithea, Greece"
"Associated Weavers4",24.8614622,67.0099388,"Associated Weavers, Karachi, Sindh, Pakistan"
"Associated Weavers5",55.7302621,12.5472296,"Associated Weavers International Scandinavia ApS, Lyngbyvej, Hellerup, Denmark"
"Aveve1",51.23784,4.44628,"AVEVE Biochem, Eugeen Meeusstraat, Merksem, Belgium"
"Aveve2",51.053214,3.7231464,"AVEVE City Gent, Sint-Niklaasstraat, Ghent, Belgium"
"Aveve3",50.9141443,4.715597,"Aveve Wilsele, Aarschotsesteenweg, Leuven, Belgium"
"Aveve4",51.0943435,3.7276644,"Aveve Tuincentrum, Pantserschipstraat, Ghent, Belgium"
"Aveve5",50.9976694,3.9714278,"Aveve Wichelen, Paepestraat, Wichelen, Belgium"
"Aviapartner1",50.8947967,4.4679777,"Aviapartner Executive Lounge - Brussels, Ringlaan, Zaventem, Belgium"
"Aviapartner2",43.4212739,5.218332,"AVIAPARTNER EXECUTIVE, Marignane, France"
"Aviapartner3",29.0468535,-13.5899733,"Aviapartner, Aeropuerto de Lanzarote, Spain"
"Aviapartner4",44.8448769,-0.656358,"Aviapartner, Mérignac, France"
"Aviapartner5",47.4495116,8.5821648,"Aviapartner, Kloten, Switzerland"
"Barco NV1",50.8567832,3.2594312,"Barco NV, Noordlaan, Kuurne, Belgium"
"Barco NV2",55.755826,37.6173,"Barco N.v. (Belgiya), Moscow, Russia"
"Barco NV3",55.8192009,37.6338819,"Barco N.v. (Belgiya), ulitsa Kondratyuka, Moscow, Russia"
"Beaulieu International Group",50.8844472,3.4365181,"Beaulieu International Group, Holstraat, Waregem, Belgium"
"Bekaert1",3.0612579,101.5296662,"Bekaert Southern Specialty Wire Sdn Bhd Jalan Utas 15/7 Seksyen 15 Shah Alam Selangor Malaysia"
"Bekaert2",18.567929,73.9143179,"Bekaert Industries Private Limited, Viman Nagar, Pune, Maharashtra, India"
"Bekaert3",36.3522971,-94.1645719,"Bekaert Corporation, Bekaert Drive, Rogers, AR, United States"
"Bekaert4",42.058719,2.1505496,"Bekaert Textiles, Sant Boi de Lluçanès, Spain"
"Bekaert5",35.4576332,-94.396501,"Bekaert Corporation, Bekaert Drive, Van Buren, AR, United States"
"Bpost1",50.8367832,4.3625398,"Bpost - Ixelles Porte De Namur, Chaussée d'Ixelles, Ixelles, Belgium"
"Bpost2",50.8005687,4.3996512,"Bpost, Chaussée de Boondael, Brussels, Belgium"
"Bpost3",50.8448852,4.3803552,"BPost, Rue Stevin, Brussels, Belgium"
"Bpost4",50.8697251,4.3649664,"bpost, Rue du Progrès, Brussels, Belgium"
"Bpost5",50.8269251,4.3424184,"Bpost, Rue Sterckx, Saint-Gilles, Belgium"
"Claeys1",41.6588939,-86.257464,"Claeys Candy Inc, South Taylor Street, South Bend, IN, United States"
"Claeys2",45.598041,-123.0035996,"Claeys Catering Inc, Northwest Commercial Street, North Plains, OR, United States"
"Claeys3",42.4920121,-83.0461365,"HL Claeys, Mound Road, Warren, MI, United States"
"Claeys4",NA,NA,"Claeys Brothers Moving & Storage, Harbor Drive, Sioux City, IA, United States"
"Claeys5",NA,NA,"Claeys, McElroy-Magruder & Kitchens, Telfair Street, Augusta, GA, United States"
"Corsio1",45.4475019,9.1772649,"Corsio di Porta Romana 64, Via Pavia, Milan, Metropolitan City of Milan, Italy"
"Corsio2",47.080575,-0.54393,"Corsion Nathalie, Saint-Paul-du-Bois, France"
"Corsio3",48.929681,9.1949447,"Corsio Salvatore, Bahnhofstraße, Freiberg, Germany"
"Corsio4",-23.6364944,-46.6579284,"Corsione Associados - Avenida João Pedro Cardoso, São Paulo - State of São Paulo, Brazil"
